product_id,avg_sentiment,sentiment,sentiment_score
B07LG59NPV,0.9999,Positive,0.9999
B00LY17RHI,0.9999,Positive,0.9999
B07XJWTYM2,0.9999,Positive,0.9999
B008QTK47Q,0.9998,Positive,0.9998
B088Z1YWBC,0.9998,Positive,0.9998
B072NCN9M4,0.9998,Positive,0.9998
B092X94QNQ,0.9998,Positive,0.9998
B09QS9CWLV,0.9998,Positive,0.9998
B09TWHTBKQ,0.9998,Positive,0.9998
B09TWH8YHM,0.9998,Positive,0.9998
B08VB57558,0.9998,Positive,0.9998
B0B14MR9L1,0.9998,Positive,0.9998
B09QS9X9L8,0.9998,Positive,0.9998
B09JPC82QC,0.9998,Positive,0.9998
B0B5V47VK4,0.9998,Positive,0.9998
B01MF8MB65,0.9998,Positive,0.9998
B096VF5YYF,0.9998,Positive,0.9998
B01N6LU1VF,0.9998,Positive,0.9998
B09QS9X16F,0.9998,Positive,0.9998
B09QS8V5N8,0.9998,Positive,0.9998
B01FSYQ2A4,0.9997,Positive,0.9997
B09XXZXQC1,0.9997,Positive,0.9997
B0B3N7LR6K,0.9996,Positive,0.9996
B0B3RSDSZ3,0.9996,Positive,0.9996
B0B3RRWSF6,0.9996,Positive,0.9996
B0BQ3K23Y1,0.9996,Positive,0.9996
B083T5G5PM,0.9996,Positive,0.9996
B0B3RS9DNF,0.9996,Positive,0.9996
B072J83V9W,0.9996,Positive,0.9996
B0B3NDPCS9,0.9996,Positive,0.9996
B00S9BSJC8,0.9994,Positive,0.9994
B0148NPH9I,0.9994,Positive,0.9994
B09TBCVJS3,0.9994,Positive,0.9994
B098K3H92Z,0.9993,Positive,0.9993
B07MKMFKPG,0.9993,Positive,0.9993
B00H0B29DI,0.9993,Positive,0.9993
B08D75R3Z1,0.9993,Positive,0.9993
B0711PVX6Z,0.9992,Positive,0.9992
B09N3ZNHTY,0.9992,Positive,0.9992
B07NC12T2R,0.9992,Positive,0.9992
B08CHZ3ZQ7,0.9992,Positive,0.9992
B08FY4FG5X,0.9992,Positive,0.9992
B00CEQEGPI,0.9992,Positive,0.9992
B07232M876,0.9992,Positive,0.9992
B008P7IF02,0.9991,Positive,0.9991
B08D64C9FN,0.9991,Positive,0.9991
B01J0XWYKQ,0.999,Positive,0.999
B08N6P8G5K,0.999,Positive,0.999
B095RTJH1M,0.999,Positive,0.999
B0B997FBZT,0.999,Positive,0.999
B07JQKQ91F,0.999,Positive,0.999
B08FN6WGDQ,0.999,Positive,0.999
B07WDKLDRX,0.999,Positive,0.999
B09GP6FBZT,0.999,Positive,0.999
B0B9959XF3,0.999,Positive,0.999
B07RD611Z8,0.9989,Positive,0.9989
B09WN3SRC7,0.9989,Positive,0.9989
B0B5D39BCD,0.9989,Positive,0.9989
B0B5DDJNH4,0.9989,Positive,0.9989
B08CRRQK6Z,0.9989,Positive,0.9989
B0B5B6PQCT,0.9989,Positive,0.9989
B0B5CGTBKV,0.9989,Positive,0.9989
B08YD264ZS,0.9988,Positive,0.9988
B08TV2P1N8,0.9988,Positive,0.9988
B0873L7J6X,0.9988,Positive,0.9988
B0B244R4KB,0.9988,Positive,0.9988
B0811VCGL5,0.9988,Positive,0.9988
B07SRM58TP,0.9988,Positive,0.9988
B09M3F4HGB,0.9988,Positive,0.9988
B07WNK1FFN,0.9987,Positive,0.9987
B0B1YY6JJL,0.9987,Positive,0.9987
B08498H13H,0.9987,Positive,0.9987
B0BC9BW512,0.9987,Positive,0.9987
B0B1YVCJ2Y,0.9987,Positive,0.9987
B0B1YZ9CB8,0.9987,Positive,0.9987
B0B1YZX72F,0.9987,Positive,0.9987
B09LH32678,0.9987,Positive,0.9987
B01L6MT7E0,0.9986,Positive,0.9986
B0B9RZ4G4W,0.9986,Positive,0.9986
B09BVCVTBC,0.9986,Positive,0.9986
B09ZHCJDP1,0.9986,Positive,0.9986
B09YLFHFDW,0.9986,Positive,0.9986
B098R25TGC,0.9986,Positive,0.9986
B09T39K9YL,0.9985,Positive,0.9985
B0759QMF85,0.9985,Positive,0.9985
B09T2WRLJJ,0.9985,Positive,0.9985
B09T2S8X9C,0.9985,Positive,0.9985
B08GJ57MKL,0.9984,Positive,0.9984
B09MDCZJXS,0.9984,Positive,0.9984
B099K9ZX65,0.9984,Positive,0.9984
B09YL9SN9B,0.9983,Positive,0.9983
B09PL79D2X,0.9983,Positive,0.9983
B0756CLQWL,0.9983,Positive,0.9983
B0B9F9PT8R,0.9983,Positive,0.9983
B09PDZNSBG,0.9983,Positive,0.9983
B07TCN5VR9,0.9982,Positive,0.9982
B07N2MGB3G,0.9982,Positive,0.9982
B07KY3FNQP,0.9982,Positive,0.9982
B0B19VJXQZ,0.9982,Positive,0.9982
B0B53DS4TF,0.9982,Positive,0.9982
B08J82K4GX,0.9982,Positive,0.9982
B09GBBJV72,0.9982,Positive,0.9982
B076B8G5D8,0.9982,Positive,0.9982
B07W9KYT62,0.9981,Positive,0.9981
B092BL5DCX,0.9981,Positive,0.9981
B092BJMT8Q,0.9981,Positive,0.9981
B097XJQZ8H,0.9981,Positive,0.9981
B0B15CPR37,0.9981,Positive,0.9981
B088WCFPQF,0.9981,Positive,0.9981
B0856HY85J,0.9981,Positive,0.9981
B0B3MWYCHQ,0.9981,Positive,0.9981
B0B15GSPQW,0.9981,Positive,0.9981
B09F6VHQXB,0.9981,Positive,0.9981
B07CD2BN46,0.9981,Positive,0.9981
B09WRMNJ9G,0.9981,Positive,0.9981
B08TR61BVK,0.998,Positive,0.998
B07WHS7MZ1,0.998,Positive,0.998
B01MQ2A86A,0.998,Positive,0.998
B0B5LVS732,0.998,Positive,0.998
B08HLZ28QC,0.998,Positive,0.998
B08BQ947H3,0.998,Positive,0.998
B078W65FJ7,0.9979,Positive,0.9979
B074CWD7MS,0.9979,Positive,0.9979
B097RJ867P,0.9979,Positive,0.9979
B00MUTWLW4,0.9979,Positive,0.9979
B08D11DZ2W,0.9979,Positive,0.9979
B0972BQ2RS,0.9979,Positive,0.9979
B0B9BXKBC7,0.9978,Positive,0.9978
B0088TKTY2,0.9978,Positive,0.9978
B0BNXFDTZ2,0.9978,Positive,0.9978
B002SZEOLG,0.9978,Positive,0.9978
B00Y4ORQ46,0.9978,Positive,0.9978
B0B5F3YZY4,0.9978,Positive,0.9978
B008IFXQFU,0.9978,Positive,0.9978
B079S811J3,0.9977,Positive,0.9977
B07B88KQZ8,0.9977,Positive,0.9977
B0BD3T6Z1D,0.9977,Positive,0.9977
B09XTQFFCG,0.9976,Positive,0.9976
B00S2SEV7K,0.9975,Positive,0.9975
B07RZZ1QSW,0.9975,Positive,0.9975
B09NL7LBWT,0.9975,Positive,0.9975
B0BMGB2TPR,0.9975,Positive,0.9975
B0BMGB3CH9,0.9975,Positive,0.9975
B0BMGG6NKT,0.9975,Positive,0.9975
B08LVVTGZK,0.9975,Positive,0.9975
B08LHTJTBB,0.9974,Positive,0.9974
B09YV4MW2T,0.99725,Positive,0.9974
B0762HXMTF,0.9974,Positive,0.9974
B00W56GLOQ,0.9973,Positive,0.9973
B07XLML2YS,0.9973,Positive,0.9973
B091JF2TFD,0.9973,Positive,0.9973
B0BLC2BYPX,0.9973,Positive,0.9973
B08WLY8V9S,0.9972,Positive,0.9972
B0763K5HLQ,0.9972,Positive,0.9972
B0BJYSCWFQ,0.9972,Positive,0.9972
B07FL3WRX5,0.9972,Positive,0.9972
B09KGV7WSV,0.9972,Positive,0.9972
B09VC2D2WG,0.9972,Positive,0.9972
B07YNTJ8ZM,0.9972,Positive,0.9972
B0BF54972T,0.9971,Positive,0.9971
B0BF54LXW6,0.9971,Positive,0.9971
B0798PJPCL,0.9971,Positive,0.9971
B09YV3K34W,0.9971,Positive,0.9971
B07TR5HSR9,0.9971,Positive,0.9971
B01NCVJMKX,0.9971,Positive,0.9971
B0BF563HB4,0.9971,Positive,0.9971
B0BF57RN3K,0.9971,Positive,0.9971
B07YR26BJ3,0.9971,Positive,0.9971
B08FB2LNSZ,0.9971,Positive,0.9971
B0BF4YBLPX,0.9971,Positive,0.9971
B09LHZSMRR,0.997,Positive,0.997
B07JF9B592,0.997,Positive,0.997
B09LJ116B5,0.997,Positive,0.997
B07L8KNP5F,0.997,Positive,0.997
B07NKNBTT3,0.997,Positive,0.997
B09LHYZ3GJ,0.997,Positive,0.997
B08LT9BMPP,0.997,Positive,0.997
B0B3TBY2YX,0.9969,Positive,0.9969
B0B2PQL5N3,0.9969,Positive,0.9969
B0B23LW7NV,0.9969,Positive,0.9969
B08VJFYH6N,0.9969,Positive,0.9969
B0B1MDZV9C,0.9969,Positive,0.9969
B07H3N8RJH,0.9969,Positive,0.9969
B09SGGRKV8,0.9968,Positive,0.9968
B09CMP1SC8,0.9968,Positive,0.9968
B0B72BSW7K,0.9968,Positive,0.9968
B07N42JB4S,0.9967,Positive,0.9967
B00J4YG0PC,0.9967,Positive,0.9967
B0BC8BQ432,0.9967,Positive,0.9967
B07P681N66,0.9967,Positive,0.9967
B0859M539M,0.9967,Positive,0.9967
